"Dataset ID","Curation ID","Normalization","Include","Date Publication"
"ISDB10228",23042,"ORIGINAL",TRUE,2002-12-19
"ISDB10838",23051,"ORIGINAL",TRUE,2003-05-10
"ISDB10847",23038,"ORIGINAL",TRUE,2003-07-08
"ISDB10848",23037,"ORIGINAL",TRUE,2003-09-02
"ISDB10839",23056,"ORIGINAL",TRUE,2003-11-01
"ISDB10840",23054,"ORIGINAL",FALSE,2004-06-01
"GSE2109",23324,"FRMA",TRUE,2005-01-15
"GSE2034",22068,"FRMA",TRUE,2005-02-19
"GSE1561",22348,"FRMA",TRUE,2005-05-09
"GSE2603",22341,"FRMA",TRUE,2005-07-28
"GSE3494",22072,"FRMA",FALSE,2005-09-20
"GSE1456",22070,"FRMA",FALSE,2005-10-03
"ISDB10824",23035,"ORIGINAL",TRUE,2005-11-06
"GSE3744",22064,"FRMA",TRUE,2006-02-01
"GSE6532",,"FRMA",FALSE,2006-02-15
"GSE5327",23204,"FRMA",TRUE,2007-02-07
"ISDB10841",23052,"ORIGINAL",TRUE,2007-03-01
"ISDB10846",23041,"ORIGINAL",TRUE,2007-03-16
"GSE5460",22063,"FRMA",TRUE,2007-05-22
"GSE7390",22071,"FRMA",TRUE,2007-06-01
"ISDB10826",23046,"ORIGINAL",FALSE,2007-06-21
"ISDB10827",23049,"ORIGINAL",FALSE,2007-12-11
"ISDB10843",23047,"ORIGINAL",TRUE,2008-04-22
"GSE9195",22352,"FRMA",FALSE,2008-05-22
"ISDB10825",23044,"ORIGINAL",TRUE,2008-06-12
"GSE11121",22073,"FRMA",TRUE,2008-07-01
"GSE5364",22347,"ORIGINAL",TRUE,2008-08-18
"GSE12093",22069,"FRMA",FALSE,2008-09-01
"GSE12276",22059,"FRMA",TRUE,2009-06-18
"ISDB10842",23050,"ORIGINAL",TRUE,2009-08-18
"ISDB10849",23036,"ORIGINAL",TRUE,2009-12-04
"GSE19615",22062,"FRMA",TRUE,2010-01-24
"GSE18864",22066,"FRMA",TRUE,2010-01-25
"GSE20194",22349,"FRMA",FALSE,2010-07-30
"GSE17705",22067,"FRMA",FALSE,2010-08-08
"ISDB10845",23043,"ORIGINAL",TRUE,2010-09-02
"GSE22035",22351,"ORIGINAL",TRUE,2010-12-30
"GSE16446",22061,"FRMA",FALSE,2011-04-20
"GSE20711",22350,"FRMA",TRUE,2011-09-12
"GSE26971",,"FRMA",FALSE,2011-09-15
"ISDB10278",23057,"ORIGINAL",TRUE,2012-04-18
"TCGA",,"ORIGINAL",FALSE,2012-09-23
